AccountKey,Amount,CurrencyKey,Datekey,EntityKey,ProductCategoryKey,ScenarioKey,StrategyPlanKey
4,1541076.5999999999,272,2017-01-01 00:00:00,272,1,1,272
4,1444448.4431,272,2017-01-01 00:00:00,272,1,2,272
4,1523344.8265000004,272,2017-01-01 00:00:00,272,1,3,272
4,27495553.664000016,282,2017-01-01 00:00:00,282,2,1,282
4,25841700.683000006,282,2017-01-01 00:00:00,282,2,2,282
4,27244664.32600001,282,2017-01-01 00:00:00,282,2,3,282
4,76580425.17199999,301,2017-01-01 00:00:00,301,3,1,301
4,71992361.15179998,301,2017-01-01 00:00:00,301,3,2,301
4,75930146.14760004,301,2017-01-01 00:00:00,301,3,3,301
4,55342634.406499974,282,2017-01-01 00:00:00,282,4,1,282
4,51856355.02979998,282,2017-01-01 00:00:00,282,4,2,282
4,54675048.29770004,282,2017-01-01 00:00:00,282,4,3,282
4,26657206.831500005,282,2017-01-01 00:00:00,282,5,1,282
4,24984745.252600007,282,2017-01-01 00:00:00,282,5,2,282
4,26342118.971300006,282,2017-01-01 00:00:00,282,5,3,282
4,5688657.961500005,282,2017-01-01 00:00:00,282,6,1,282
4,5343542.157699998,282,2017-01-01 00:00:00,282,6,2,282
4,5632939.807299999,282,2017-01-01 00:00:00,282,6,3,282
4,3678794.636200002,282,2017-01-01 00:00:00,282,7,1,282
4,3546947.459999999,282,2017-01-01 00:00:00,282,7,2,282
4,3739725.298199998,282,2017-01-01 00:00:00,282,7,3,282
4,72850913.96200003,282,2017-01-01 00:00:00,282,8,1,282
4,69020483.83430004,282,2017-01-01 00:00:00,282,8,2,282
4,72774145.101,282,2017-01-01 00:00:00,282,8,3,282
4,1381784.3662000003,279,2017-02-01 00:00:00,279,1,1,279
4,1296636.9828999997,279,2017-02-01 00:00:00,279,1,2,279
4,1367096.6611,279,2017-02-01 00:00:00,279,1,3,279
4,27092949.677100003,282,2017-02-01 00:00:00,282,2,1,282
4,25410643.496099997,282,2017-02-01 00:00:00,282,2,2,282
4,26782051.11239999,282,2017-02-01 00:00:00,282,2,3,282
4,88914528.26890008,301,2017-02-01 00:00:00,301,3,1,301
4,83223383.1535,301,2017-02-01 00:00:00,301,3,2,301
4,87737545.11440009,301,2017-02-01 00:00:00,301,3,3,301
4,60637075.30750001,282,2017-02-01 00:00:00,282,4,1,282
4,56563451.008000016,282,2017-02-01 00:00:00,282,4,2,282
4,59622375.58579998,282,2017-02-01 00:00:00,282,4,3,282
4,25481762.964399993,282,2017-02-01 00:00:00,282,5,1,282
